SYMBOL,OPTION TYPE,STRIKE PRICE,EXPIRATION,OPEN DATE,DTE AT OPEN,CLOSE DATE,QTY,OPEN PRICE,CLOSE PRICE,OPEN AMOUNT,CLOSE AMOUNT,COMMISSION TOTAL,FEES TOTAL,NET PROFIT,RETURN
TSLA,Put,395.0,2025-01-31,2025-01-27,4,2025-01-27,1,16.5,20.0,-1650.53,1999.4,1.0,0.13,348.87,0.2114
TSLA,Put,395.0,2025-01-31,2025-01-28,3,2025-01-29,1,18.0,22.0,-1800.53,2199.39,1.0,0.14,398.86,0.2215
TSLA,Put,387.5,2025-02-07,2025-02-03,4,2025-02-03,1,12.0,17.0,-1200.53,1699.41,1.0,0.12,498.88,0.4155
TSLA,Put,300.0,2025-04-17,2025-02-04,72,2025-02-05,1,6.5,7.2,-650.53,719.43,1.0,0.1,68.9,0.1059
GOOG,Call,195.0,2025-02-07,2025-02-05,2,2025-02-05,1,0.88,1.3,-88.53,129.45,1.0,0.08,40.92,0.4622
GOOG,Call,190.0,2025-02-07,2025-02-05,2,2025-02-05,1,2.55,3.5,-255.53,349.45,1.0,0.08,93.92,0.3675
GOOG,Put,180.0,2025-02-07,2025-02-05,2,2025-02-05,10,0.11,0.15,-114.28,144.69,10.0,0.59,30.41,0.2661
AAPL,Put,232.5,2025-02-07,2025-02-04,3,2025-02-05,1,2.54,3.9,-254.53,389.44,1.0,0.09,134.91,0.53
TSLA,Put,330.0,2025-02-14,2025-02-06,8,2025-02-06,1,2.08,1.17,-208.53,116.45,1.0,0.08,-92.08,-0.4416
GOOG,Call,192.5,2025-02-14,2025-02-06,8,2025-02-06,1,2.78,3.05,-278.53,304.45,1.0,0.08,25.92,0.0931
TSLA,Put,350.0,2025-02-14,2025-02-06,8,2025-02-06,1,4.26,5.0,-426.53,499.44,1.0,0.09,72.91,0.1709
TSLA,Put,355.0,2025-02-14,2025-02-10,4,2025-02-10,3,8.82,9.67,-2647.59,2898.3,3.0,0.29,250.71,0.0947
TSLA,Put,300.0,2025-03-28,2025-02-11,45,2025-02-11,1,11.35,13.0,-1135.53,1299.42,1.0,0.11,163.89,0.1443
TSLA,Call,335.0,2025-02-14,2025-02-11,3,2025-02-11,2,8.18,8.7,-1636.06,1738.87,2.0,0.19,102.81,0.0628
AA,Call,37.5,2025-02-14,2025-02-11,3,2025-02-11,1,0.9,1.0,-90.53,99.45,1.0,0.08,8.92,0.0985
STLD,Call,135.0,2025-02-21,2025-02-11,10,2025-02-11,1,3.0,3.5,-300.53,349.45,1.0,0.08,48.92,0.1628
TSLA,Put,345.0,2025-02-14,2025-02-11,3,2025-02-11,1,7.77,9.7,-777.53,969.43,1.0,0.1,191.9,0.2468
AA,Call,35.0,2025-02-21,2025-02-12,9,2025-02-12,1,2.39,2.08,-239.53,207.45,1.0,0.08,-32.08,-0.1339
BABA,Call,117.0,2025-02-21,2025-02-12,9,2025-02-12,1,5.25,5.7,-525.53,569.44,1.0,0.09,43.91,0.0836
PDD,Call,118.0,2025-02-21,2025-02-13,8,2025-02-13,1,3.6,4.0,-360.53,399.44,1.0,0.09,38.91,0.1079
NVO,Put,79.0,2025-02-21,2025-02-14,7,2025-02-14,1,1.52,1.72,-152.53,171.45,1.0,0.08,18.92,0.124
TSLA,Call,360.0,2025-02-21,2025-02-14,7,2025-02-14,1,5.55,6.05,-555.53,604.44,1.0,0.09,48.91,0.088
TSLA,Put,300.0,2025-03-14,2025-02-12,30,2025-02-14,2,5.55,4.0,-1111.73,798.91,2.0,0.15,-312.82,-0.2814
PDD,Call,124.0,2025-02-21,2025-02-14,7,2025-02-14,1,3.45,3.8,-345.53,379.44,1.0,0.09,33.91,0.0981
XPEV,Call,16.0,2025-02-21,2025-02-13,8,2025-02-14,1,0.57,0.92,-57.53,91.45,1.0,0.08,33.92,0.5896
BABA,Call,127.0,2025-02-21,2025-02-18,3,2025-02-18,1,4.85,5.5,-485.53,549.44,1.0,0.09,63.91,0.1316
TSLA,Put,350.0,2025-02-21,2025-02-14,7,2025-02-19,1,8.9,2.26,-890.53,225.79,1.0,0.07,-664.74,-0.7465
TSLA,Put,350.0,2025-02-21,2025-02-19,2,2025-02-19,2,1.68,2.26,-337.05,451.58,2.0,0.14,114.53,0.3398
TSLA,Put,365.0,2025-02-21,2025-02-19,2,2025-02-19,1,7.2,7.3,-720.53,729.43,1.0,0.1,8.9,0.0124
TSLA,Call,352.5,2025-02-21,2025-02-18,3,2025-02-19,1,8.05,11.0,-805.53,1099.42,1.0,0.11,293.89,0.3648
META,Put,697.5,2025-02-28,2025-02-20,8,2025-02-20,1,11.42,13.2,-1142.53,1319.42,1.0,0.11,176.89,0.1548
BABA,Put,145.0,2025-02-28,2025-02-21,7,2025-02-21,1,5.4,5.6,-540.53,559.44,1.0,0.09,18.91,0.035
AMZN,Put,222.5,2025-02-28,2025-02-21,7,2025-02-21,1,3.2,4.5,-320.53,449.44,1.0,0.09,128.91,0.4022
BABA,Call,137.0,2025-02-28,2025-02-20,8,2025-02-21,2,4.2,10.0,-841.05,1998.88,2.0,0.17,1157.83,1.3766
PLTR,Put,93.0,2025-02-28,2025-02-24,4,2025-02-24,1,3.2,4.0,-320.53,399.44,1.0,0.09,78.91,0.2462
PLTR,Put,96.0,2025-03-14,2025-02-24,18,2025-02-24,1,6.7,8.05,-670.53,804.43,1.0,0.1,133.9,0.1997
TSLA,Put,250.0,2025-04-04,2025-02-25,38,2025-02-25,2,5.95,6.3,-1191.05,1258.9,2.0,0.15,67.85,0.057
PLTR,Call,98.0,2025-03-14,2025-02-24,18,2025-02-25,1,7.0,2.2,-700.53,219.45,1.0,0.08,-481.08,-0.6867
BABA,Call,130.0,2025-03-14,2025-02-24,18,2025-02-25,3,6.73,8.4,-2021.58,2518.33,3.0,0.25,496.75,0.2457
TSLA,Put,300.0,2025-03-14,2025-02-12,30,2025-02-25,1,5.55,14.86,-555.86,1485.43,1.0,0.1,929.57,1.6723
TSLA,Put,300.0,2025-03-14,2025-02-12,30,2025-02-25,2,6.65,14.86,-1331.05,2970.86,2.0,0.19,1639.81,1.232
TSLA,Put,300.0,2025-03-14,2025-02-13,29,2025-02-25,2,3.5,14.86,-701.05,2970.86,2.0,0.19,2269.81,3.2377
TSLA,Put,300.0,2025-03-14,2025-02-24,18,2025-02-25,1,3.6,14.86,-360.53,1485.43,1.0,0.1,1124.9,3.1201
JD,Call,43.0,2025-03-28,2025-02-26,30,2025-02-26,4,3.2,3.25,-1282.11,1297.84,4.0,0.27,15.73,0.0123
TSLA,Put,250.0,2025-03-28,2025-02-26,30,2025-02-26,8,3.97,6.0,-3178.22,4795.63,8.0,0.59,1617.41,0.5089
BABA,Call,140.0,2025-03-28,2025-02-26,30,2025-02-26,4,8.2,8.7,-3282.11,3477.78,4.0,0.33,195.67,0.0596
NVDA,Put,135.0,2025-02-28,2025-02-27,1,2025-02-27,1,9.3,10.0,-930.53,999.43,1.0,0.1,68.9,0.074
NVDA,Call,126.0,2025-02-28,2025-02-27,1,2025-02-27,6,2.35,3.0,-1413.16,1796.76,6.0,0.4,383.6,0.2714
NVDA,Call,129.0,2025-02-28,2025-02-27,1,2025-02-27,6,3.01,3.69,-1809.16,2210.75,6.0,0.41,401.59,0.222
AAPL,Put,240.0,2025-03-28,2025-02-28,28,2025-02-28,1,7.28,7.85,-728.53,784.43,1.0,0.1,55.9,0.0767
NVDA,Call,130.0,2025-02-28,2025-02-27,1,2025-02-28,6,0.81,0.0,-489.16,0.0,3.0,0.16,-489.16,-1.0
NVDA,Call,130.0,2025-02-28,2025-02-27,1,2025-02-28,6,2.11,0.0,-1269.16,0.0,3.0,0.16,-1269.16,-1.0
BABA,Put,130.0,2025-03-28,2025-02-28,28,2025-03-03,4,6.75,4.8,-2702.11,1917.78,4.0,0.33,-784.33,-0.2903
NVDA,Put,122.0,2025-03-21,2025-03-03,18,2025-03-03,1,6.73,7.5,-673.53,749.43,1.0,0.1,75.9,0.1127
NVDA,Call,131.0,2025-03-28,2025-02-26,30,2025-03-04,5,10.47,1.73,-5237.63,862.32,5.0,0.31,-4375.31,-0.8354
NVDA,Call,131.0,2025-03-28,2025-02-27,29,2025-03-04,5,4.7,1.73,-2352.63,862.32,5.0,0.31,-1490.31,-0.6335
