DATE,ACTIVITY,QTY,SYMBOL,DESCRIPTION,PRICE,COMMISSION,FEES,AMOUNT
03/28/2025,Bought To Open,1,TSLA,TSLA Mar 28 2025 267.50 Put,$2.20,$0.50,$0.03,-$220.53
03/21/2025,Bought To Open,1,TSLA,TSLA Mar 21 2025 230.00 Put,$0.56,$0.50,$0.03,-$56.53
03/21/2025,Bought To Open,1,TSLA,TSLA Mar 28 2025 237.50 Put,$8.42,$0.50,$0.03,-$842.53
03/19/2025,Bought To Open,1,SPY,SPY Mar 31 2025 565.00 Put,$8.35,$0.50,$0.03,-$835.53
03/19/2025,Bought To Open,2,SPY,SPY Apr 04 2025 562.00 Put,$9.85,$1.00,$0.06,"-$1,971.06"
03/18/2025,Bought To Open,3,JD,JD May 16 2025 45.00 Call,$3.70,$1.50,$0.08,"-$1,111.58"
03/18/2025,Bought To Open,1,SPY,SPY Apr 17 2025 564.00 Put,$12.11,$0.50,$0.03,"-$1,211.53"
03/18/2025,Bought To Open,3,JD,JD May 16 2025 45.00 Call,$3.80,$1.50,$0.08,"-$1,141.58"
03/17/2025,Bought To Open,1,TSLA,TSLA Apr 04 2025 245.00 Put,$17.03,$0.50,$0.03,"-$1,703.53"
03/17/2025,Bought To Open,1,AAPL,AAPL May 16 2025 215.00 Put,$9.97,$0.50,$0.03,-$997.53
03/17/2025,Bought To Open,2,NVDA,NVDA May 16 2025 130.00 Call,$7.07,$1.00,$0.06,"-$1,415.06"
03/14/2025,Bought To Open,1,QQQ,QQQ Apr 04 2025 475.00 Put,$12.56,$0.50,$0.03,"-$1,256.53"
03/14/2025,Bought To Open,2,AAPL,AAPL May 16 2025 215.00 Put,$11.50,$1.00,$0.06,"-$2,301.06"
03/13/2025,Bought To Open,4,NVDA,NVDA Mar 28 2025 131.00 Call,$1.58,$2.00,$0.11,-$634.11
03/13/2025,Bought To Open,2,QQQ,QQQ Mar 28 2025 473.00 Put,$11.63,$1.00,$0.06,"-$2,327.06"
03/13/2025,Bought To Open,2,AAPL,AAPL Apr 17 2025 215.00 Put,$7.80,$1.00,$0.06,"-$1,561.06"
03/12/2025,Bought To Open,1,QQQ,QQQ Apr 11 2025 480.00 Put,$15.57,$0.50,$0.03,"-$1,557.53"
03/12/2025,Bought To Open,1,SPY,SPY Apr 11 2025 560.00 Put,$13.83,$0.50,$0.03,"-$1,383.53"
03/11/2025,Bought To Open,1,TSLA,TSLA Mar 28 2025 215.00 Put,$11.45,$0.50,$0.03,"-$1,145.53"
03/11/2025,Bought To Open,2,SPY,SPY Mar 20 2025 560.00 Put,$10.04,$1.00,$0.06,"-$2,009.06"
03/11/2025,Bought To Open,1,PLTR,PLTR Apr 11 2025 76.00 Put,$7.00,$0.50,$0.03,-$700.53
03/11/2025,Bought To Open,1,TSLA,TSLA Apr 11 2025 200.00 Put,$13.00,$0.50,$0.03,"-$1,300.53"
03/10/2025,Bought To Open,1,QQQ,QQQ Apr 11 2025 480.00 Put,$15.77,$0.50,$0.03,"-$1,577.53"
03/07/2025,Bought To Open,1,SPY,SPY Apr 04 2025 575.00 Put,$13.25,$0.50,$0.03,"-$1,325.53"
03/07/2025,Bought To Open,1,BABA,BABA Jun 20 2025 155.00 Call,$11.75,$0.50,$0.03,"-$1,175.53"
03/06/2025,Bought To Open,3,JD,JD Mar 21 2025 46.00 Call,$2.44,$1.50,$0.08,-$733.58
03/05/2025,Bought To Open,1,BABA,BABA Jun 20 2025 150.00 Call,$11.40,$0.50,$0.03,"-$1,140.53"
03/05/2025,Bought To Open,1,SHOP,SHOP Apr 04 2025 102.00 Put,$6.25,$0.50,$0.03,-$625.53
03/05/2025,Bought To Open,1,AAPL,AAPL Jun 20 2025 230.00 Put,$11.96,$0.50,$0.03,"-$1,196.53"
03/05/2025,Bought To Open,3,NVDA,NVDA Jun 20 2025 90.00 Put,$3.75,$1.50,$0.09,"-$1,126.59"
03/04/2025,Bought To Open,2,JD,JD Jun 20 2025 60.00 Call,$1.04,$1.00,$0.06,-$209.06
03/04/2025,Bought To Open,3,TSLA,TSLA Apr 04 2025 200.00 Put,$4.45,$1.50,$0.08,"-$1,336.58"
03/03/2025,Bought To Open,2,JD,JD Jun 20 2025 60.00 Call,$1.10,$1.00,$0.06,-$221.06
03/03/2025,Bought To Open,1,NVDA,NVDA Mar 21 2025 122.00 Put,$6.73,$0.50,$0.03,-$673.53
02/28/2025,Bought To Open,1,AAPL,AAPL Mar 28 2025 240.00 Put,$7.10,$0.50,$0.03,-$710.53
